Горизонт (нед.),RMSE,MAE,MAPE (%)
1,5823.018386359803,2366.576184796049,87.85966887473099
3,6189.031790677282,2749.8255914384863,115.3757769462829
6,7214.5534339652995,3625.490317825657,207.34273877145722
12,,,
