Модель,h=1_RMSE,h=1_MAE,h=1_MAPE,h=1_sMAPE,h=1_MAPE_nz,h=3_RMSE,h=3_MAE,h=3_MAPE,h=3_sMAPE,h=3_MAPE_nz,h=6_RMSE,h=6_MAE,h=6_MAPE,h=6_sMAPE,h=6_MAPE_nz,h=12_RMSE,h=12_MAE,h=12_MAPE,h=12_sMAPE,h=12_MAPE_nz
XGBoost,4984.6799,1452.9849,78.945,56.7033,69.2645,10584.3924,3104.061,108.4142,73.2685,98.2439,6225.7295,1822.3111,111.1457,73.2728,96.2946,17805.8506,5678.4066,389.0008,128.4401,353.2886
RandomForest,3596.3184,729.2875,67.809,52.9821,56.3497,3920.2242,851.1059,76.8417,57.5026,61.708,4357.2449,1014.359,89.5286,65.667,73.7384,5609.8686,1604.9159,160.3745,98.3133,136.0351
ElasticNet,4297.2944,1174.4174,72.3231,57.972,61.2499,4969.7033,1225.1937,80.771,67.4201,67.9034,5795.0283,1796.8275,99.7384,75.0435,83.4349,5489.9585,1674.7131,154.9528,99.8576,126.7826
