Модель,h=1_RMSE,h=1_MAE,h=1_MAPE,h=1_sMAPE,h=1_MAPE_nz,h=3_RMSE,h=3_MAE,h=3_MAPE,h=3_sMAPE,h=3_MAPE_nz,h=6_RMSE,h=6_MAE,h=6_MAPE,h=6_sMAPE,h=6_MAPE_nz,h=12_RMSE,h=12_MAE,h=12_MAPE,h=12_sMAPE,h=12_MAPE_nz
XGBoost,2229682.0436,1673855.9197,56.5597,40.6887,56.5597,2190849.964,1578481.4073,58.2957,40.2697,58.2957,2697238.2888,2208587.7738,75.0654,58.2875,75.0654,3281854.7454,2848207.6542,127.9236,87.5384,127.9236
RandomForest,2087247.7756,1054437.5513,53.4002,27.8854,53.4002,2206382.2604,1349135.4904,61.169,35.3269,61.169,2447325.5794,1520063.593,72.2703,42.387,72.2703,3264360.994,2612785.2031,137.3248,81.1116,137.3248
ElasticNet,2579863.2855,2030838.8289,64.7356,48.4118,64.7356,2985602.2113,2014043.4112,64.6828,56.3085,64.6828,3215957.9356,2916957.5922,81.5161,66.2243,81.5161,3404938.5414,3017166.135,121.0534,93.7875,121.0534
LSTM,1618698.9672,1279033.9766,56.7756,29.6812,56.7756,1471375.6236,968397.4196,53.8699,23.7544,53.8699,1620511.604,1222702.7841,66.9982,30.9392,66.9982,2237309.6616,2102834.675,104.267,61.6729,104.267
SARIMA,1247148.8043,655742.7206,42.9857,15.1015,42.9857,1288726.3929,669847.8052,46.0117,15.878,46.0117,1514721.1318,873031.8434,59.6043,20.1029,59.6043,2213733.6423,1492382.9235,121.4384,36.0597,121.4384
HoltWinters,1242735.7136,679550.4375,42.8217,15.5256,42.8217,1287882.7398,690044.686,45.9314,16.23,45.9314,1523308.9189,891570.8036,59.6857,20.3863,59.6857,2220332.182,1534616.6608,121.5559,36.7363,121.5559
